Gamma Ray,Resistivity,Neutron Porosity,Density,Sonic P,Sonic S,Depth,Facies
128.5058,2.1658,0.3181,2.4951,98.63066644,186.4770095,4100,
133.3839,2.1252,0.3206,2.4862,99.90584825,188.1686899,4100.5,
136.4945,2.1106,0.3535,2.493,101.8878136,189.2287776,4101,
139.3694,2.138,0.3606,2.4892,103.1314391,190.9760577,4101.5,
139.4401,2.1328,0.3352,2.4681,101.6905876,189.2187389,4102,
136.7773,2.0903,0.3523,2.4646,102.9208422,190.68342,4102.5,
136.8244,2.0979,0.3589,2.4835,102.8678514,190.6501337,4103,
139.9585,2.1003,0.3507,2.4998,101.9566254,189.4263221,4103.5,
150.4688,2.1155,0.3643,2.495,105.1809061,194.2656422,4104,
162.2514,2.1545,0.3852,2.4754,108.766,202.3212911,4104.5,
160.7196,2.1996,0.3254,2.4662,102.2958032,189.6523676,4105,
153.0609,2.2076,0.325,2.4777,101.7804274,189.1539183,4105.5,
149.2905,2.2199,0.33,2.5048,101.2202437,188.2752799,4106,
140.8069,2.2473,0.358,2.5156,101.7095007,188.7106626,4106.5,
133.3131,2.2636,0.3617,2.4946,101.6824244,188.5191715,4107,
131.3572,2.2036,0.3327,2.4706,100.2749608,187.0698217,4107.5,
135.1748,2.1038,0.3615,2.4696,103.3748066,191.3094651,4108,
134.4678,2.1085,0.3504,2.5007,100.9507806,187.9525524,4108.5,
128.5058,2.1768,0.3141,2.5263,97.01843125,184.6027331,4109,
130.4381,2.2647,0.3266,2.5267,97.14320211,182.7804484,4109.5,
139.393,2.2981,0.3699,2.5432,101.7053647,189.1046805,4110,
139.3458,2.3812,0.3712,2.5627,101.3804035,188.7008899,4110.5,
138.1911,2.4016,0.3649,2.5432,100.7190636,187.2807714,4111,
143.7526,2.2343,0.3715,2.5161,103.7684178,192.2251324,4111.5,
144.5302,2.0768,0.3495,2.5002,102.64321,190.529978,4112,
140.8305,2.0021,0.3453,2.4793,102.7604684,191.1061201,4112.5,
137.1778,1.9495,0.3544,2.4536,103.8410929,192.5478312,4113,
134.7977,1.9779,0.3394,2.4346,102.6213582,191.2559269,4113.5,
